[2.74 - 3.62] 各位就是
[335.50 - 337.26] 其實我覺得她還是要
[337.26 - 339.12] 那個我一個分別
[339.12 - 339.68] 好
[341.26 - 342.46] 好 那今天
[342.46 - 345.50] 講完專案的任務
[345.50 - 347.46] 那第三個就是
[347.46 - 349.30] 我們重大的
[349.30 - 350.82] 變更流程
[350.82 - 353.30] 依照我們這些提供的
[353.30 - 354.54] SOW文件
[354.54 - 356.72] 它的第七支四當節
[356.72 - 358.16] 我們那時候是針對
[358.16 - 359.34] 恨亞的直情單
[359.34 - 361.70] 我們有四個開發項目
[361.70 - 362.24] 類別
[362.24 - 363.52] 第一個是可使用
[363.52 - 365.50] 是否那老生抱怨的報表
[365.50 - 366.92] 然後第二個是
[366.92 - 368.60] 歇爾開發的項目
[368.60 - 369.86] 那歇爾開發是
[369.86 - 372.18] 指我們規定在開發
[372.18 - 373.52] 只剩三小時以內
[373.52 - 374.18] 不是
[374.78 - 375.22] 不是
[375.76 - 376.90] 你不用講這個
[376.90 - 378.16] 你就直接說
[378.78 - 379.70] 我們是針對
[379.70 - 381.20] 太陽城是這點快
[381.20 - 382.72] 是我們的標準功能
[382.72 - 384.78] 那功能說明會後
[384.78 - 386.82] 如果對於這個需求
[386.82 - 388.32] 也要調整變更
[388.32 - 390.72] 我們評估是三小時以內的
[390.72 - 391.50] 我們會開發
[391.50 - 393.16] 三小時以上的
[393.16 - 395.26] 我們就要走這個重大別根的流程
[396.18 - 396.58] 對
[397.22 - 398.72] 不用去解釋可使用
[398.72 - 400.32] 跟歇爾開發是什麼比例
[400.32 - 401.16] 因為那個在的時候
[401.16 - 402.30] W都已經起了
[402.30 - 402.94] 是不了吧
[402.94 - 403.98] 對你就只要說
[403.98 - 404.94] 因為為什麼
[404.94 - 406.72] 有這個專案重大別根流程
[406.72 - 409.26] 就是我們為了要長控整的專案的寫程
[409.26 - 410.62] 可以用起完成
[411.16 - 412.10] 那當今天
[412.10 - 414.18] 如果在我們的標準版功能
[414.18 - 415.40] 什麼叫標準版功能
[415.40 - 417.42] 就是當初SOW裡面
[417.42 - 418.48] 可使用幾些
[418.48 - 420.06] 為開發的那些功能
[420.06 - 420.96] 像我們
[420.96 - 422.64] 在我們功能說明會後
[422.64 - 424.62] 如果User有針對一些
[424.62 - 425.84] 藍味的需求
[425.84 - 427.14] 要求調整變更
[427.14 - 428.94] 那我們這邊會去評估
[428.94 - 431.28] 如果開發工時在三小時內
[431.28 - 431.78] 我們就會
[431.78 - 434.36] 直接做進行後續的開發
[434.36 - 436.98] 但是總實數是一百小時上寫
[436.98 - 438.94] 但是因為考量是十成
[439.58 - 440.38] 如果這個
[440.38 - 442.42] 這兩個標準版的功能
[442.42 - 445.18] 開發時間在三小時以上的需求
[445.18 - 448.68] 我們就必須要走這個專案重大別根的流程
[448.68 - 451.58] 有雙方的專案總召
[451.58 - 453.52] 對這個需求評估
[453.52 - 454.90] 要不要做
[455.58 - 456.54] 那如果要做
[456.54 - 459.22] 才定確認要做這樣的需求變更的時候
[459.22 - 460.80] 我們就會把它
[460.80 - 463.78] 納進去做需求的專寫
[463.78 - 465.48] 但是因為這個
[465.48 - 467.70] 造成的延長的時數
[467.70 - 469.22] 我們是不會進入
[469.22 - 470.46] 不得進入在我們
[470.46 - 471.74] 解奉的延遲
[472.58 - 474.18] 延遲的那個時程裡面
[474.18 - 475.96] 所以你前面
[475.96 - 477.10] 其實不用去針對
[477.10 - 477.96] 可使用幾些
[477.96 - 478.56] 為開發
[478.56 - 479.88] 是什麼地理
[480.64 - 481.90] 因為可些為開發
[481.90 - 483.22] 些為開發也不是所謂
[483.22 - 484.44] 定義是三小時內
[484.86 - 485.22] 不是
[485.92 - 487.10] 所以那些為開發
[487.10 - 488.40] 當初的定義是針對
[488.40 - 489.40] 我們系統有
[489.86 - 491.02] 他們要的功能
[491.02 - 493.12] 可能我們系統可以用
[493.12 - 495.10] 但是還是要做一些改
[496.08 - 496.44] 對
[496.44 - 497.20] 那些是我們
[497.20 - 499.00] 都已經答應要做的標準版
[499.50 - 500.32] 那我們之所以
[500.32 - 501.80] 提這個專案重大別根
[501.80 - 502.74] 只要讓他們知道
[502.74 - 504.66] 在標準的那些功能
[505.08 - 505.98] 我們會做
[505.98 - 507.48] 但是如果我
[507.48 - 508.28] 功能說完
[508.28 - 509.50] 你不要客戶目主導
[509.50 - 510.46] 你要跟我說加了
[510.46 - 511.20] 20個兩位
[511.20 - 512.00] 20張報表
[512.82 - 513.96] 那20張報表
[513.96 - 514.60] 我可能要寫了
[514.60 - 515.44] 40個小時
[515.82 - 516.88] 那我整個專案
[516.88 - 517.72] 怎麼進行下去
[517.72 - 519.16] 所以我們才會提說
[519.16 - 520.72] 這個專案重大別根
[520.72 - 521.48] 有程式
[521.48 - 523.04] 我的標準版功能
[523.04 - 524.24] 你考慮完之後
[524.24 - 525.24] 你如果還要趕
[526.00 - 526.82] 可是我評估
[526.82 - 528.24] 超過三小時以上的
[528.24 - 529.20] 我們就要進這個
[529.20 - 530.20] 有程去考慮
[532.00 - 532.36] 好
[532.36 - 533.96] 我之後再報告一次
[533.96 - 535.26] 我先反擊起來
[535.26 - 535.76] 我先回去
[535.76 - 535.92] 我先回去
[535.92 - 538.08] 你還要內放一下
[538.60 - 540.60] 你要另外一個講故事一樣
[540.60 - 543.28] 你說這個重大的議題
[543.28 - 544.50] 你比較講重別
[544.50 - 545.96] 你剛剛畫那個紅色
[545.96 - 547.50] 就是你要講重點
[547.50 - 548.80] 彎姆彎氣的時候
[548.80 - 550.04] 你就講重點
[550.04 - 550.42] 對
[550.42 - 552.98] 反正可適用跟
[552.98 - 553.74] 偉開發
[554.28 - 556.34] 我們定義是三個小時以內
[557.08 - 558.90] 然後超過三個小時
[558.90 - 559.90] 就要走
[559.90 - 560.80] 留存
[561.54 - 563.36] 就是只要是這兩塊的
[563.36 - 564.28] 你要改
[564.28 - 565.92] 我可以接受改
[565.92 - 567.94] 但是只要是三小時內
[567.94 - 568.38] 我都改
[568.92 - 570.08] 三小時以上的
[570.08 - 571.68] 我們就要去走這個流程
[571.68 - 572.82] 去考慮要不要改
[573.36 - 575.12] 有兩方的專業組織
[575.12 - 576.42] 就決定要去對方改
[577.10 - 578.80] 那我確認要改了
[578.80 - 581.16] 我們會配合做修改
[581.16 - 581.70] 但是
[581.70 - 583.90] 如果造成延遲時速
[583.90 - 584.90] 我們就不合理
[584.90 - 587.08] 幾乎在我們的專業延遲時生
[587.74 - 588.18] 對
[588.18 - 589.76] 所以就是紅色的幾個
[591.26 - 593.58] 因為這個會用到客製畫
[593.58 - 594.64] 所以它不是
[595.24 - 596.02] 客製畫
[596.02 - 596.90] 客製畫後面
[597.60 - 598.04] 對
[598.70 - 600.12] 如果這是標準版
[600.12 - 600.38] 對
[601.98 - 602.86] 但是如果
[602.86 - 604.44] 這是標準版
[604.44 - 607.38] 因為我現在是怕它標準版
[607.38 - 608.14] 這些功能
[608.14 - 610.34] 我們去功能說明會後
[610.34 - 611.54] 它又改了一堆
[611.54 - 614.44] 那你這個上面要不要寫標準版
[615.10 - 615.72] 沒有啊
[615.72 - 617.36] 就是期待中這兩個
[618.78 - 619.22] 對
[619.22 - 621.76] 那你講的時候要講標準版
[622.60 - 624.88] 就是針對功能輕大的中央
[624.88 - 627.00] 知道基本的寫為的這些功能
[627.00 - 629.86] 也就是我們這一次專案的
[629.86 - 631.28] 標準版功能
[631.28 - 633.30] 在我們的功能說明會
[633.30 - 635.96] 就是即將隔日即將展開的功能
[635.96 - 637.06] 說明會之後
[637.06 - 639.78] 如果使用者對需求要調整變得
[639.78 - 641.20] 在節目這邊
[641.20 - 641.98] 羅評估
[641.98 - 643.96] 還發公司在三小時內
[643.96 - 646.56] 我們會寫住進行修改開罰
[646.56 - 649.34] 但如果是超過三小時以上的需求
[649.98 - 652.38] 就需要進入雙方的專案總沓
[652.38 - 654.54] 去對需求變更進行逃動
[654.94 - 656.84] 然後跟裁定你要不要變更
[656.84 - 658.22] 當雙方總沓
[658.22 - 660.12] 裁定確認要變更的時候
[660.12 - 661.52] 我們會寫住修改
[661.52 - 664.26] 但是因為這樣的變更需求
[664.26 - 665.58] 造成的年輕時數
[665.58 - 666.62] 不可以進入到
[666.62 - 668.54] 結婚的專案年輕時成
[669.20 - 670.34] 所以你等一下回去看一下
[671.20 - 672.46] 我剛還講的這一段
[672.46 - 673.74] 其實也不是全家
[673.74 - 676.14] 我記得紅字在家上幾個黑字講
[676.14 - 678.06] 所以你要去消化這樣子
[678.06 - 679.90] 然後你要稍微知道一下
[679.90 - 682.18] 你要怎麼樣去做這樣說
[682.18 - 683.48] 不用一個字
[683.48 - 685.64] 因為他們有買課策化的社會
[685.64 - 687.82] 課策化就是課策化的社會
[687.82 - 689.04] 那你第一頁
[689.04 - 690.42] 我在補充一下
[690.42 - 691.20] 你第一頁
[691.20 - 693.86] 就是要講的是
[693.86 - 696.14] 漢堡伴及結婚禍
[696.14 - 696.80] 先幫我辦
[697.32 - 697.84] 大家好
[697.84 - 698.84] 好
[698.84 - 699.74] 因為他
[699.74 - 703.56] 師弟他有算一些講過辦
[703.56 - 705.90] 所以像慾善他們的規範
[705.90 - 707.06] 他們比較講過辦
[708.12 - 709.32] 所以太陽
[709.32 - 709.82] 第一頁
[709.82 - 712.22] 一頁部分就要太陽過辦
[713.14 - 714.26] 但是你那個
[714.26 - 715.54] 第二頁
[715.54 - 717.10] 第五頁的部分
[717.10 - 719.58] 我要寫最數
[719.58 - 721.10] 那我是最數
[721.10 - 721.82] 第五頁
[721.82 - 722.68] 對
[722.68 - 723.04] 對
[724.70 - 726.92] 你寫的下面那個
[726.92 - 727.42] 精
[728.10 - 728.70] 本
[728.70 - 730.26] 也不是說要先
[730.26 - 733.12] 精雙方寫上確認
[733.12 - 734.32] 寫上確認先拿掉
[734.32 - 735.08] 不要講
[735.08 - 736.04] 不要講
[736.56 - 738.20] 因為這樣有點最數
[738.20 - 738.70] 就是說
[739.68 - 741.48] 因為你特別把它講出來
[741.48 - 742.68] 就是感覺
[742.68 - 744.00] 因為你上次說要寫
[744.00 - 744.78] 雙方桃
[744.78 - 746.04] 確認後面的總糟
[746.04 - 746.62] 對沒關係
[746.62 - 747.60] 我沒有拿掉
[747.60 - 748.60] 所以要把它拿掉
[748.60 - 749.26] 所以被家
[749.26 - 750.32] 你等一下
[751.04 - 752.70] 你三太多了
[753.22 - 753.72] 就是
[753.72 - 755.18] 精雙方寫
[755.18 - 756.70] 精雙方確認
[756.70 - 757.80] 還是寫意
[757.80 - 759.18] 到確認的認
[759.18 - 759.96] 三頁
[759.96 - 760.58] 這樣
[761.16 - 761.66] 對
[761.66 - 763.10] 那我這一份
[763.10 - 763.80] Kipo Miting
[763.80 - 764.72] 這樣一畫就不用
[766.98 - 767.46] 這個
[767.46 - 768.64] 這個這樣就好
[768.64 - 769.74] 就是因為
[769.74 - 770.74] 我要Kipo Miting
[770.74 - 772.12] 如果在信件上面
[772.12 - 773.06] 我們可以這樣回
[773.06 - 774.54] 但是我們在
[774.54 - 775.82] 紙上上
[775.82 - 776.66] 直接寫了
[776.66 - 777.62] 就直接寫了
[777.62 - 778.08] 對
[778.08 - 779.24] 按這頁呢
[779.24 - 780.58] 我覺得你覆整內容
[780.58 - 781.50] 不用說太多
[781.50 - 781.94] 對
[781.94 - 783.06] 你就簡單說
[783.06 - 784.24] 就是解鋒的
[784.78 - 786.02] 解鋒這邊的
[786.02 - 787.30] 專人員的紙帳
[787.30 - 789.06] 總共專案也有幾下
[789.06 - 789.56] 那
[789.56 - 790.52] 解鋒的
[790.52 - 791.52] 就是旁邊
[791.52 - 792.42] 代理人寫
[792.42 - 793.74] 代理人有美美
[793.74 - 795.36] 站就好了
[795.36 - 796.18] 你出來
[796.18 - 797.26] 在這邊
[797.26 - 797.60] 這邊
[797.60 - 798.52] 給他們
[798.52 - 799.66] 紙帳戴臉頸
[799.66 - 799.98] 對
[799.98 - 800.54] 對
[801.18 - 801.88] 不用說
[803.46 - 804.42] 這邊有
[804.42 - 805.96] 這樣講的話
[805.96 - 806.38] 對
[806.38 - 807.88] 那就是我
[807.88 - 808.34] 對
[808.34 - 808.88] 可是
[809.90 - 811.46] 如果他問我的話
[811.46 - 812.20] 我就問他說
[812.20 - 812.74] 他的劇誰
[813.62 - 814.80] 你懂嗎
[814.80 - 815.92] 如果他有問
[816.54 - 818.14] 那就是代理人是誰
[818.14 - 819.00] 他們已經都沒有
[819.00 - 819.94] 在看蒙見的
[819.94 - 820.38] 對
[820.38 - 822.38] 然後還有一個
[822.38 - 823.10] 就是說
[823.60 - 824.08] 那個
[824.08 - 825.48] 第七頁的
[825.48 - 825.88] 地方
[825.88 - 828.10] 第七頁
[828.10 - 828.82] 要不要停
[828.82 - 829.34] 這邊
[829.34 - 831.26] 其實這頁好像是
[831.26 - 832.40] 七點三張節
[832.98 - 834.08] 七點三
[834.08 - 834.60] 因為
[834.60 - 835.96] 我們的排飯有問題
[835.96 - 837.24] 你也說這樣
[837.24 - 838.28] 直接寫七點三
[838.28 - 838.72] 標誌
[839.38 - 839.64] 對
[839.64 - 841.78] 就是你可以關號寫說
[841.78 - 843.10] 原招標書
[843.10 - 843.32] 對
[843.32 - 844.22] 但是我記得
[844.22 - 845.64] 是木木是七點四
[845.64 - 845.92] 對
[845.92 - 847.96] 木木是七點四
[847.96 - 848.18] 對
[848.18 - 849.04] 但是裡面跳
[849.04 - 850.32] 跳頁是七點三
[850.32 - 850.98] 對
[850.98 - 852.20] 就是說好像
[852.20 - 853.86] 正確來說
[853.86 - 855.02] 是七點四
[855.02 - 856.14] 是七點四
[856.14 - 856.56] 對
[856.56 - 857.72] 木木木是七點四
[857.72 - 858.36] 是
[858.36 - 860.40] 是裡面是七點四
[860.40 - 860.62] 對
[861.18 - 862.02] 他看亞城事情
[862.02 - 863.40] 他是叫七點四
[863.40 - 864.72] 他是這個人寫錯了
[865.50 - 867.30] 所以我只有寫到七點四
[867.30 - 868.54] 所以他就這樣
[868.54 - 870.14] 我們要寫七點四點一
[870.14 - 870.30] 對
[870.30 - 871.36] 我去寫標
[872.18 - 872.22] 好
[873.40 - 874.68] 因為我們裡面內容
[874.68 - 875.30] 那時候可能
[875.30 - 875.64] 對
[875.64 - 876.78] 那時候下面的
[876.78 - 878.32] 指部錄可能沒改到
[878.32 - 878.98] 沒改到
[878.98 - 879.62] 那就這樣子
[879.62 - 881.10] 那反正大標上
[881.10 - 881.40] 對
[881.40 - 882.52] 大標是對的
[882.52 - 884.20] 然後再往下
[884.20 - 884.90] 不好意思
[884.90 - 885.84] 給你打端
[885.84 - 886.54] 沒關係
[886.54 - 887.04] 好
[888.94 - 889.46] 好
[890.48 - 891.52] 第二個部分
[891.52 - 892.40] 我們針對
[892.40 - 893.24] 專案寫成
[893.24 - 894.14] 自己說明
[894.14 - 895.34] 那這個是
[895.34 - 896.86] 我們的專案寫成表
[896.86 - 897.38] 那
[897.38 - 898.14] 哇
[898.14 - 899.16] 你要想想要我都說
[901.02 - 901.98] 而且我發現
[901.98 - 902.92] 我那個格式
[902.92 - 902.92] 
[903.86 - 904.96] 少節的
[904.96 - 905.42] 不是
[905.42 - 906.46] 對啊我剛才跟你說
[906.46 - 907.60] 你這樣節沒有用
[907.60 - 908.78] 你要節的一個圖表
[908.78 - 910.46] 沒有你就這樣想大標
[910.46 - 912.24] 就節20個月
[912.92 - 913.28] 這個還要
[913.28 - 913.92] 要到十分表
[913.92 - 915.46] 十分表
[915.46 - 916.12] 是嗎
[916.12 - 916.54] 尖爆
[917.58 - 918.60] 因為這節八
[918.60 - 919.90] 少節的這沒有節到
[919.90 - 920.10] 沒關係
[920.10 - 921.66] 我不會全講
[921.66 - 923.44] 我一定不會多講
[923.44 - 924.30] 好的
[924.92 - 925.40] 好說
[925.92 - 926.52] 這個部分是
[926.52 - 927.66] 我們這次跟
[927.66 - 929.70] 漢堂夥伴的專案寫成表
[929.70 - 930.92] 那這個之前
[930.92 - 931.72] 這個寫成表
[931.72 - 932.18] 之前
[932.72 - 933.54] 在不一之前
[933.54 - 934.50] 沒有先提供
[934.50 - 935.74] 那我們目前
[935.74 - 937.74] 今天提供的福利品之後
[937.74 - 938.62] 幾項在明天
[938.62 - 940.18] 就要展開我們第一階段
[940.72 - 941.08] 就是有
[941.08 - 943.80] 觀TAC同各項工人的工人說明
[943.80 - 945.68] 那在工人說明之後
[945.68 - 946.82] 我們會進行
[946.82 - 948.32] 規格確認
[948.32 - 949.68] 那後續就依照
[949.68 - 950.80] 我們這個寫成表
[950.80 - 951.62] 上定義的
[952.26 - 953.28] 繼續做下去
[953.28 - 954.14] 呈現開發
[954.14 - 955.08] ITJ快
[955.08 - 956.96] 會繼續後續做執行
[956.96 - 959.44] 那在專案寫成的進行中
[959.44 - 960.18] 我們未來
[960.18 - 962.22] 兩者在20個月順利的完成
[962.22 - 964.30] 跟漢堂夥伴的合作
[964.30 - 966.30] 所以我們會希望到時候
[966.30 - 967.72] 在工人說明
[967.72 - 969.48] 以及規格確認的部分
[969.48 - 971.40] 也希望雙方的夥伴
[971.40 - 972.70] 都能在寫成上
[972.70 - 974.04] 抓緊的個不掉
[974.04 - 975.56] 那大家能夠在
[975.56 - 977.00] 合作寫成內
[977.00 - 978.32] 可以有效的完成
[978.32 - 979.20] 這整個專案
[979.20 - 981.88] 那詳細的各項專案寫成
[981.88 - 983.26] 他在請委會的
[983.26 - 984.20] 夥伴長官們
[984.20 - 985.10] 再後續
[985.10 - 986.52] 如果有問題再提出完
[986.52 - 987.66] 我不會去寫
[987.66 - 988.18] 講明明
[988.18 - 989.06] 像公們
[989.66 - 990.66] 因為你會去講
[990.66 - 991.72] 那太浪費時間
[991.72 - 993.08] 他們應該都要辦過
[993.08 - 994.12] 因為我們今天
[994.12 - 995.06] 剪刀再出去
[995.06 - 996.12] 把他們做回看
[996.12 - 996.96] 對
[996.96 - 998.40] 然後你下一頁
[998.40 - 1000.12] 剪業就打來講
[1000.12 - 1002.02] 就教這塊
[1002.02 - 1002.84] 歡迎你
[1002.84 - 1003.40] 好
[1004.68 - 1005.16] 好
[1005.16 - 1005.68] 那我們
[1005.68 - 1006.88] 功能說明
[1006.88 - 1008.32] 計劃時程分為
[1008.32 - 1009.42] 兩個部分
[1009.42 - 1010.26] 第一個是
[1010.26 - 1010.78] TES系統
[1010.78 - 1012.14] 然後另外一個是EC
[1013.16 - 1014.28] 那我們TES系統
[1014.28 - 1014.90] 可以看到我們
[1014.90 - 1016.10] 第一、第八項
[1016.10 - 1018.22] 我們TES標準版
[1018.22 - 1019.24] 我們回憶計
[1019.24 - 1021.32] 在1到2月內
[1021.32 - 1023.04] 把功能說明結束
[1023.04 - 1025.04] 那根據前面的專案
[1025.04 - 1025.60] 時程表
[1025.60 - 1027.12] 我們去頭確認會到
[1027.12 - 1029.20] 4月的時候
[1029.20 - 1030.50] 繼續動潔的動作
[1031.10 - 1032.00] 那我們的
[1032.00 - 1033.30] 想後續
[1033.30 - 1034.10] 像MDS
[1034.10 - 1034.78] SS
[1034.78 - 1036.04] B-X-C-C
[1036.04 - 1036.86] 的項目
[1036.86 - 1038.14] 我們會在
[1038.14 - 1040.16] 按照我們的專案時程表
[1040.16 - 1041.02] 依序
[1041.02 - 1041.92] 依當月
[1041.92 - 1044.00] 來執行確認的動作
[1044.00 - 1044.82] 那
[1044.82 - 1045.74] 依次的部分
[1045.74 - 1046.96] 因為我們之前提供
[1046.96 - 1047.86] 會公司我們的
[1047.86 - 1048.36] Buffalo
[1048.36 - 1049.50] 所以說
[1049.50 - 1050.24] 我們
[1050.84 - 1052.06] 因為我們這邊
[1052.06 - 1052.86] 已經是
[1052.86 - 1054.24] 依當會公司
[1054.24 - 1054.82] 提給我們
[1054.82 - 1055.60] 給我們的
[1055.60 - 1056.18] 吃心蛋
[1056.18 - 1057.54] 拿進行規劃
[1057.54 - 1058.52] 那到時候
[1058.52 - 1059.70] 我們是預計
[1059.70 - 1060.68] 一週
[1060.68 - 1062.12] 一週一次
[1062.12 - 1062.44] 那
[1062.44 - 1063.42] 該著會
[1063.42 - 1064.36] 去說
[1064.36 - 1065.76] 沒有我們以及設計好的
[1065.76 - 1067.06] EC官網
[1067.06 - 1067.56] 然後
[1067.56 - 1069.42] 以及去做
[1069.42 - 1070.68] 需求討論的動作
[1073.28 - 1073.80] 好
[1074.42 - 1074.94] 最後
[1074.94 - 1075.30] 然後
[1075.30 - 1076.00] 他
[1076.00 - 1076.70] 這是
[1076.70 - 1077.26] 各位我爸
[1077.26 - 1077.98] 有什麼問題
[1077.98 - 1078.38] 然後可以
[1078.38 - 1080.14] 一起提出
[1080.14 - 1080.68] 好
[1083.58 - 1084.10] 沒有
[1084.64 - 1085.86] 那這個聯絡人
[1085.86 - 1086.56] 是不是改繳
[1086.56 - 1087.58] 聯絡人
[1087.58 - 1088.44] 該我嗎
[1088.44 - 1088.84] 對啊
[1089.62 - 1090.54] 這個簡報
[1092.78 - 1093.84] 就改你了
[1093.84 - 1094.40] 好多
[1095.66 - 1096.68] 因為這之前
[1096.68 - 1097.80] 還是寫了
[1098.58 - 1099.72] 有解的資料
[1100.46 - 1100.98] 對
